#		DELM
«Ўб«Џ« 		N
Џгжгн		ADJ
‘е—		N
«—ѕ»нб		N
#		DELM
¬» ж еж«н		N
«нд		DET
‘е—		N
ѕ—		P
“г” «д е«		N
”—ѕ		ADJ
ж		CON
ѕ—		P
 «»” «д е«		N
гЏ ѕб		ADJ
гн »«‘ѕ		V
»е		P
Ўж—н		N
яе		CON
ѕ—		P
“г” «д		N
нян		PRO
«“		P
”—ѕ —нд		ADJ
‘е—е«н		N
«н—«д		N
гн »«‘ѕ		V
.		DELM
»«Ё 		N
‘е—		N
«—ѕ»нб		N
»е		P
’ж— 		N
 «—		N
Џдя»ж н		ADJ
«” 		V
яе		CON
»е		P
 »Џ		N
¬д		PRO
«џб»		QUA
ќн«»«д е«н		N
‘е—		N
»е		P
«” Ћд«н		N
Ндѕ		SPEC
гж—ѕ		N
гдЌдн ‘яб		ADJ
гн »«‘ѕ		V
.		DELM
”«»ёе		N
 «—нќн		ADJ
«нд		DET
‘е—		N
»е		P
“г«д		N
«‘я«дн«д		N
гн —”ѕ		V
.		DELM
ѕ—		P
”«б		N
22		N
ећ—н		ADJ
ёг—н		ADJ
«—ѕ»нб		N
 ж”Ў		P
”Б«ен«д		N
«”б«г		N
Ё Ќ		N
‘ѕ		V
ж		CON
егНднд		CON
ѕ—		P
“г«д		N
ќбЁ«н		N
»дн «гне		N
г—я“		N
«н«б 		N
¬–—»«нћ«д		N
Р—ѕнѕ		V
.		DELM
ѕ—		P
”«б		N
617		N
ећ—н		ADJ
ёг—н		ADJ
Ќгбе		N
гџжб«д		N
»«ЏЋ		N
‘ѕ		V
яе		CON
«нд		DET
‘е—		N
жн—«д		ADJ
ж		CON
џ«— 		N
Р—ѕѕ		V
.		DELM
 «ж—дне		N
”н«Ќ		N
гЏ—жЁ		ADJ
Ё—«д”жн		ADJ
ѕ—		P
гж—ѕ		N
«—ѕ»нб		N
гн Ржнѕ		V
:		DELM
«нд		DET
‘е—		N
»е		P
ѕж		N
ће 		N
«егн 		N
ѕ«—ѕ		V
:		DELM
нян		PRO
»е		P
ж«”Ўе		N
 ћ«— 		N
«»—н‘г		N
яе		CON
ѕ—		P
Рнб«д		N
»е		P
ѕ” 		N
гн ¬нѕ		V
ж		CON
ѕнР—н		PRO
гё»—е		N
‘нќ		N
’Ён «бѕнд		N
«—ѕ»нбн		N
.		DELM
‘е—” «д		N
«—ѕ»нб		N
ѕ«—«н		ADJ
4		N
»ќ‘		N
»е		P
д«г е«н		N
г—я“н		N
°		DELM
дгнд		N
°		DELM
дн—		N
ж		CON
гн—		N
°		DELM
22		N
ѕе” «д		N
ж		CON
4		N
‘е—		N
гн »«‘ѕ		V
.		DELM
«—ѕ»нб		N
г—я“		N
«” «д		N
«—ѕ»нб		N
«” 		V
ж		CON
Ўжб		N
ж		CON
Џ—÷		N
ћџ—«Ён«нн		ADJ
¬д		PRO
»е		P
 — н»		N
18		N
48		N
ж		CON
15		N
48		N
гн »«‘ѕ		V
ж		CON
«— Ё«Џ		N
«нд		DET
‘е—		N
«“		P
”ЎЌ		N
ѕ—н«		N
1311		N
г —		N
гн »«‘ѕ		V
.		DELM
#		DELM
ћ«–»е е«н		N
ѕнѕдн		ADJ
ж		CON
 ж—н” н		ADJ
«—ѕ»нб		N
#		DELM
г—ѕг		N
»ж‘е—		N
»е		P
“»«д		N
Ё«—”н		ADJ
гЌбн		ADJ
ж		CON
»Џ÷н		PRO
дн“		CON
»е		P
“»«д		N
Џ—»н		ADJ
 ябг		N
гн яддѕ		V
.		DELM
Ржн‘		N
ж		CON
беће		N
«“		P
¬Ћ«—		N
ѕнѕдн		ADJ
«нд		DET
‘е—” «д		N
гн  ж«д		V
»е		P
жн—«де е«н		N
—н‘е—		N
°		DELM
«“		P
¬Ћ«—		N
 гѕд		N
«нб«гн		N
ж		CON
”«”«дн		N
ё»—” «д		N
‘џ«»		N
яе		CON
«”яб  е«н		N
Ё—«ж«дн		ADJ
ѕ—		P
ѕ«ќб		N
ѕќге е«		N
ж		CON
ЌЁ—е е«н		N
»“—Р		ADJ
¬д		PRO
гѕЁжд		ADJ
‘ѕе		ADJ
«” 		V
°		DELM
ќ«де		N
ё«÷н		N
яе		CON
 “«нд« 		N
РН »—н		N
ж		CON
‘н‘е е«н		N
—дРн		ADJ
¬д		PRO
»”н«—		ADV
гЏ—жЁ		ADJ
«” 		V
°		DELM
ќ«де		N
ћЏЁ—н		N
°		DELM
ќ«де		N
ћ«д дЋ«—		N
°		DELM
ќ«де		N
—‘нѕн		N
°		DELM
гћгжЏе		N
ге—»«д		ADJ
°		DELM
ќ«де		N
Ў»н»		N
°		DELM
 ћ«— ќ«де		N
«н—«дн		ADJ
»ж‘е—		N
°		DELM
»ёЏе		N
«г«г“«ѕе		N
Џ»ѕ«бгенгд		N
°		DELM
 б		N
«—«где		N
°		DELM
ябн”«н		N
«—«где		N
Р—нРж—н		N
°		DELM
ябн”«н		N
г”нЌ		N
гёѕ”		ADJ
°		DELM
¬» «д»«—		N
ёж«г		N
ж		CON
”«ќ г«д		N
«” «дѕ«—н		N
«‘«—е		N
я—ѕ		V
.		DELM
#		DELM
 «—нќНе		N
‘е—		N
)		DELM
Бн‘нде		N
(		DELM
#		DELM
«“		P
¬ћ—е«н		N
 «—нќн		ADJ
»е ѕ”  ¬гѕе		ADJ
Нднд		PRO
»—гн ¬нѕ		V
яе		CON
¬»«ѕ«дн		N
«нд		DET
‘е—		N
»е		P
—ж“Р«—		N
«нб«гн е«		N
гн —”ѕ		V
.		DELM
‘е—		N
»ж‘е—		N
°		DELM
ѕ—		P
Ќѕжѕ		N
240		N
”«б		N
Бн‘		ADJ
°		DELM
ня		N
‘е—		N
яжНя		ADJ
г«енРн—н		N
»жѕ		V
°		DELM
Б” «“¬дяе		CON
д«ѕ—		N
‘«е		N
«Ё‘«—		N
«нд		DET
»дѕ—		N
—«		P
»е		P
гё—		N
дн—жн		N
ѕ—н«нн		ADJ
ќжѕ		PRO
ѕ—		P
ќбнћ Ё«—”		N
 »ѕнб		N
я—ѕ		V
ж		CON
’дЏ 		N
я‘ н ”«“н		N
—«		P
ѕ—		P
«нд		DET
‘е—		N
—ждё		N
ѕ«ѕ		V
°		DELM
‘е—		N
»е		P
’ж— 		N
»дѕ—н		N
ЁЏ«б		ADJ
ѕ— ¬гѕ		V
яе		CON
 ћ«— ќ«де е«н		N
«н—«дн		ADJ
ж		CON
ќ«—ћн		ADJ
ѕ—		P
¬д		PRO
»е		P
ѕ«ѕ ж ” ѕ		N
г‘џжб		ADJ
»жѕдѕ		V
.		DELM
#		DELM
жће		N
 ”гне		N
#		DELM
д«г		N
«’бн		ADJ
»ж‘е—		N
—«		P
 ќ  «—ѕ‘н—		N
гн ѕ«ддѕ		V
Н—« яе		CON
»д«н		N
«нд		DET
‘е—		N
—«		P
»е		P
«—ѕ‘н—		N
”«”«дн		N
д”» 		N
гн ѕедѕ		V
.		DELM
ѕ—		P
»—ќн		QUA
«“		P
гд«»Џ		N
¬гѕе		ADJ
«” 		V
яе		CON
Нжд		CON
д«ѕ—		N
‘«е		N
«Ё‘«—		N
ѕ—		P
д“ѕнян		N
‘е—		N
дн—жн		N
ѕ—н«нн		ADJ
ёжн		ADJ
«нћ«ѕ		N
я—ѕ		V
д«г		N
«нд		DET
‘е—		N
—«		P
«»ж‘е—		N
)		DELM
Бѕ—		N
‘е—е«		N
(		DELM
Р–«‘ 		V
.		DELM
ѕ—		P
»—ќн		QUA
«“		P
гд«»Џ		N
°		DELM
д«г		N
«жбне		ADJ
»ж‘е—		N
—«		P
д«ѕ—не		N
ѕ«д” дѕ		V
ж		CON
 «—нќ		N
¬д		PRO
—«		P
”«б		N
1146		N
ећ—н		ADJ
ёг—н		ADJ
»—¬ж—ѕ		N
я—ѕе «дѕ		V
.		DELM
#		DELM
«Ўб«Џ« 		N
Џгжгн		ADJ
‘е—		N
»ж‘е—		N
#		DELM
ћгЏн 		N
‘е—		N
»—		P
«”«”		N
”—‘г«—н		N
ѕ—		P
”«б		N
1375		N
914 187		N
дЁ—		N
»жѕе		ADJ
«” 		V
яе		CON
«нћ«ѕ		N
г—«я“		N
ћѕнѕ		ADJ
Ё—едРн		ADJ
ж		CON
«Ќѕ«Ћ		N
Б«б«н‘Р«е		N
ж		CON
Б —ж‘нгн		N
»е		P
ћгЏн 		N
«нд		DET
‘е—		N
е—		QUA
—ж“		N
«Ё“жѕе		ADJ
«” 		V
ж		CON
г«ддѕ		ADV
»ёне		QUA
‘е—е«н		N
«н—«д		N
«“		P
—‘ѕ		N
д”»н		ADJ
ћгЏн 		N
»—ќж—ѕ«—		ADJ
»жѕе		ADJ
«” 		V
.		DELM
Ё«’бе		N
«нд		DET
‘е—		N
 «		P
 е—«д		N
1230		N
янбжг —		N
«” 		V
жбн		CON
ѕ«‘ д		N
Ё—жѕР«е		N
ж		CON
Б—ж«“е«н		N
г Џѕѕ		ADJ
—ж“«де		ADV
»е		P
«нд		DET
‘е—		N
г‘яб		N
»Џѕ		N
г”«Ё 		N
—«		P
Ќб		N
дгжѕе		ADJ
«” 		V
.		DELM
¬»		N
ж		CON
еж«н		N
‘е—		N
»ж‘е—		N
Р—г		ADJ
ж		CON
г—Ўж»		ADJ
«” 		V
яе		CON
ѕ—		P
Ё’жб		N
Р—г		ADJ
—Ўж» 		N
еж«		N
»”н«—		ADV
“н«ѕ		ADJ
«” 		V
ж		CON
Ќ«б 		N
‘—ћн		ADJ
—«		P
»е		P
жћжѕ		N
гн ¬ж—ѕ		V
.		DELM
г ж”Ў		N
ѕ—ће		N
Ќ—«— 		N
”«б«де		ADJ
«нд		DET
‘е—		N
2 / 24		N
ѕ—ће		N
”«д нР—«ѕ		ADJ
гн »«‘ѕ		V
ж		CON
«нд		PRO
ѕ—		P
Ќ«бн		N
«” 		V
яе		CON
Ќѕ«яЋ—		QUA
гЎбё		ADJ
50		N
ѕ—ће		N
”«д нР—«ѕ		ADJ
ж		CON
Ќѕ«ёб		QUA
гЎбё		ADJ
1		N
ѕ—ће		N
”«д нР—«ѕ		ADJ
дн“		CON
г‘«еѕе		N
‘ѕе		ADJ
«” 		V
.		DELM
г ж”Ў		N
»«—дѕРн		N
”«б«де		ADJ
«нд		DET
‘е—		N
гЏ«ѕб		ADJ
219		N
гнбнг —		N
гн »«‘ѕ		V
ж		CON
г ж”Ў		N
—Ўж» 		N
д”»н		ADJ
еж«		N
»н‘ —		ADJ
«“		P
50		N
ѕ—’ѕ		N
гн »«‘ѕ		V
.		DELM
»дѕ—		N
»ж‘е—		N
ѕ—		P
гд ен «бне		N
‘г«б		N
‘»е ћ“н—е «н		N
д”» «		ADV
яжНя		ADJ
яе		CON
«“		P
‘г«б		N
џ—»		N
»е		P
ћдж»		N
‘—ё		N
«г ѕ«ѕ		N
ѕ«—ѕ		V
ж«ёЏ		ADJ
‘ѕе		ADJ
«” 		V
.		DELM
«“		P
дў—		N
ёѕг 		N
 «—нќн		ADJ
»ж‘е—		N
ѕ«—«н		ADJ
”«»ёе «н		N
»”		ADV
ѕ—ќ‘«д		ADJ
«” 		V
.		DELM
«”д«ѕ		N
»е		P
ћ«		N
г«дѕе		MORP
«“		P
—н‘е—		N
д‘«д		N
гн ѕеѕ		V
яе		CON
»ж‘е—		N
«“		P
е“«—е		N
ѕжг		ADJ
